date,deaths
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,0
2020-03-19,0
2020-03-20,0
2020-03-21,0
2020-03-22,0
2020-03-23,0
2020-03-24,1
2020-03-25,1
2020-03-26,1
2020-03-27,1
2020-03-28,1
2020-03-29,1
2020-03-30,1
2020-03-31,1
2020-04-01,3
2020-04-02,3
2020-04-03,3
2020-04-04,3
2020-04-05,5
2020-04-06,6
2020-04-07,6
2020-04-08,6
2020-04-09,7
2020-04-10,8
2020-04-11,8
2020-04-12,8
2020-04-13,8
2020-04-14,8
2020-04-15,8
2020-04-16,9
2020-04-17,9
2020-04-18,9
2020-04-19,10
2020-04-20,10
2020-04-21,10
2020-04-22,10
2020-04-23,10
2020-04-24,10
2020-04-25,10
2020-04-26,10
2020-04-27,10
2020-04-28,10
2020-04-29,10
2020-04-30,10
2020-05-01,10
2020-05-02,10
2020-05-03,10
2020-05-04,10
2020-05-05,10
2020-05-06,10
2020-05-07,10
2020-05-08,10
2020-05-09,10
2020-05-10,10
2020-05-11,10
2020-05-12,10
2020-05-13,10
2020-05-14,10
2020-05-15,10
2020-05-16,10
2020-05-17,10
2020-05-18,10
2020-05-19,10
2020-05-20,10
2020-05-21,10
2020-05-22,10
2020-05-23,10
2020-05-24,10
2020-05-25,10
2020-05-26,10
2020-05-27,10
2020-05-28,10
2020-05-29,10
2020-05-30,10
2020-05-31,10
2020-06-01,10
2020-06-02,10
2020-06-03,10
2020-06-04,10
2020-06-05,10
2020-06-06,10
2020-06-07,10
2020-06-08,10
2020-06-09,10
2020-06-10,10
2020-06-11,10
2020-06-12,10
2020-06-13,10
2020-06-14,10
2020-06-15,10
2020-06-16,10
2020-06-17,10
2020-06-18,10
2020-06-19,10
2020-06-20,10
2020-06-21,10
2020-06-22,10
2020-06-23,10
2020-06-24,10
2020-06-25,10
2020-06-26,10
2020-06-27,10
2020-06-28,10
2020-06-29,10
2020-06-30,10
2020-07-01,10
2020-07-02,10
2020-07-03,10
2020-07-04,10
2020-07-05,10
2020-07-06,10
2020-07-07,10
2020-07-08,10
2020-07-09,10
2020-07-10,10
2020-07-11,10
2020-07-12,10
2020-07-13,10
2020-07-14,10
2020-07-15,10
2020-07-16,10
2020-07-17,10
2020-07-18,10
2020-07-19,10
2020-07-20,10
2020-07-21,10
2020-07-22,10
2020-07-23,10
2020-07-24,10
2020-07-25,10
2020-07-26,10
2020-07-27,10
2020-07-28,10
2020-07-29,10
2020-07-30,10
2020-07-31,10
2020-08-01,10
2020-08-02,10
2020-08-03,10
2020-08-04,10
2020-08-05,10
2020-08-06,10
2020-08-07,10
2020-08-08,10
2020-08-09,10
2020-08-10,10
2020-08-11,10
2020-08-12,10
2020-08-13,10
2020-08-14,10
2020-08-15,10
2020-08-16,10
2020-08-17,10
2020-08-18,10
2020-08-19,10
2020-08-20,10
2020-08-21,10
2020-08-22,10
2020-08-23,10
2020-08-24,10
2020-08-25,10
2020-08-26,10
2020-08-27,10
2020-08-28,10
2020-08-29,10
2020-08-30,10
2020-08-31,10
2020-09-01,10
2020-09-02,10
2020-09-03,10
2020-09-04,10
2020-09-05,10
2020-09-06,10
2020-09-07,10
2020-09-08,10
2020-09-09,10
2020-09-10,10
2020-09-11,10
2020-09-12,10
2020-09-13,10
2020-09-14,10
2020-09-15,10
2020-09-16,10
2020-09-17,10
2020-09-18,10
2020-09-19,10
2020-09-20,10
2020-09-21,10
2020-09-22,10
2020-09-23,10
2020-09-24,10
2020-09-25,10
2020-09-26,10
2020-09-27,10
2020-09-28,10
2020-09-29,10
2020-09-30,10
2020-10-01,10
2020-10-02,10
2020-10-03,10
